,global_coherence_prediction
14673,0.00021608267
16249,2.687887e-05
916,0.906048
5915,0.9347007
5372,0.5632063
2280,0.008709881
9127,0.79144025
2306,0.6335325
6260,0.97065574
17490,2.5431505e-05
10779,0.06712852
9472,0.22134736
12587,0.66067255
4582,0.6239629
5769,0.57115865
10553,0.7284112
8033,0.97932774
17383,0.00028191172
923,0.08741959
831,0.9741905
1803,0.24076326
16686,0.050608087
17973,0.00047715814
18585,0.00038633603
14652,2.2044896e-05
9715,0.944128
142,0.7293106
1365,0.8372144
15434,0.00034540874
10019,0.6041994
15718,0.00066657015
18570,3.5693505e-05
2100,0.78777754
8071,0.5795431
15405,0.000930633
16326,1.5645144e-05
16993,2.5770567e-05
15748,0.13959026
16399,0.00011346862
2632,0.7245765
4123,0.5100107
6239,0.20960835
93,0.55199075
8555,0.009970288
15428,7.294909e-05
18070,0.000648537
15073,0.002096553
11960,0.8654798
11289,0.52394074
6059,0.806407
6259,0.00010075819
5040,0.78559047
18969,2.790994e-05
12740,0.35137302
3239,0.7615033
13298,2.2249767e-05
655,0.62963015
12887,0.56286556
8238,0.47794512
4517,0.05697658
5649,0.28137755
4454,0.5286675
13562,0.00013670875
5224,0.53547305
8753,0.66895443
19027,0.02546671
9577,0.84385246
4216,0.832539
4010,0.6375703
372,0.19001016
2795,0.3992761
11484,0.51369655
9334,0.8500302
2303,0.6981446
141,0.9628493
12977,0.00019898229
17978,0.15158774
5711,0.092010885
12892,0.50749946
829,0.7152696
6893,0.86481637
17247,0.0438093
9603,0.6390481
2977,0.9447064
5833,0.8661009
8734,0.8147105
17710,3.4277513e-05
12219,0.772418
13470,1.0002525e-05
16258,0.00044001988
9696,0.8674949
16934,0.0013844682
2161,0.9387437
15296,1.25831275e-05
5419,0.18394159
4368,0.490665
8849,0.47861204
2272,0.3475168
17226,2.6811105e-05
16450,0.5221402
18832,5.4285327e-05
11698,0.71436286
11256,0.3886312
18757,0.029931244
6610,0.87184757
5629,0.7801778
4307,0.30875948
17351,3.5083725e-05
1980,0.4111315
5422,0.90021485
12893,0.35300156
8445,0.11788728
3904,0.84899294
15157,6.2484796e-05
12529,0.43069232
13088,0.0005293127
11778,0.9020718
5005,0.8190489
16430,0.5318834
10285,0.78746426
5805,0.4667772
8614,0.111651264
1413,0.8117153
13007,0.000101842
2331,0.08617333
4987,0.6900858
17533,0.22521429
17546,0.00021376746
149,0.7383988
17339,1.9151112e-05
6533,0.2901098
1853,0.633
15171,1.7462144e-05
6724,0.37316144
9702,0.21400209
15265,3.3023556e-05
6361,0.8145879
8048,0.4601415
5058,0.8872973
13451,3.341527e-05
10175,0.7051049
14247,0.00017087978
3892,0.33699304
15553,0.0006269571
9926,0.873723
711,0.16487567
13291,0.0006715872
4833,0.6303447
9665,0.6740448
9542,0.871893
9644,0.7854554
7599,0.44344762
118,0.66984785
7680,0.3276537
10442,0.81553537
2489,0.5095269
14650,0.003524115
12762,0.6867298
13506,7.291536e-05
3425,0.81205595
8002,0.47136056
2047,0.18893008
13939,0.00019747157
3086,0.099392444
9928,0.6810085
11793,0.44830006
2279,0.63829964
7129,0.24416554
14956,8.355658e-05
11457,0.48853242
11473,0.059966795
3048,0.44604236
14228,0.003806412
11460,0.68518394
15030,2.6472057e-05
3799,0.3574355
13089,0.4245111
15841,0.00010570489
4188,0.6677061
4511,0.14649788
6329,0.54105836
1117,0.42702034
13877,0.0017264278
10914,0.9606544
7754,0.9932766
9152,0.47134244
15917,0.046945326
4312,0.24185826
7130,0.5435938
15396,3.6769856e-05
14051,3.855382e-05
2038,0.1758164
7458,0.6592814
7035,0.63776165
15012,1.5594691e-05
18148,0.0030254235
13118,0.003638793
12898,0.49440074
17694,2.2770293e-05
6170,0.7413595
3814,0.8150767
2865,0.75292754
17335,0.00014489098
18688,1.6931599e-05
6756,0.6348743
16528,7.290083e-05
7696,0.561063
13993,1.08317645e-05
13270,0.38301012
10845,0.39084545
18864,0.0002463594
11074,0.6755717
11643,0.5964111
18006,6.595685e-05
4778,0.9746388
5362,0.6741388
11610,0.5317147
9086,0.37112466
7977,0.7289081
19037,6.15616e-05
17018,0.000704547
4023,0.741004
13067,0.00017096095
14716,3.471252e-05
4525,0.46065897
14568,2.0961317e-05
7746,0.4499289
9286,0.9820057
4979,0.9465901
5567,0.6472133
18476,1.0955108e-05
2123,0.6228268
6315,0.89875394
8858,0.8979714
14602,0.0010156285
12649,0.29283026
16162,3.6747664e-05
13257,0.0003507832
1173,0.34066364
6452,0.68890446
13826,1.501246e-05
14241,7.56253e-05
6621,0.7338408
5803,0.9396864
16470,3.1839452e-05
19161,0.00063058716
8607,0.31022623
7294,0.8932554
5758,0.5947942
13759,9.7447504e-05
14839,0.00017770751
4076,0.89442927
287,0.27719954
2181,0.13732284
888,0.57546157
6319,0.9615352
16338,0.2520066
11278,0.25142848
17860,0.039168917
10693,0.19627984
16753,3.906559e-05
16376,0.25117028
12605,0.40534827
15510,0.31879026
16970,0.00016812788
5635,0.14344043
6086,0.90945536
1953,0.98662424
11298,0.7828314
7008,0.24280973
5687,0.37472767
5026,0.9101914
14200,4.4132215e-05
11050,0.5182389
6047,0.8001618
18186,0.004884045
9072,0.7281598
10755,0.96866626
11086,0.67798686
3768,0.47233993
9922,0.63684404
17001,0.12011213
11261,0.59593666
488,0.37599662
17149,1.8130717e-05
3206,0.7028353
18934,0.0637873
10031,0.68539196
513,0.7340066
1651,0.6127931
4613,0.62071073
19208,0.00011102414
18820,3.494402e-05
7508,0.75585395
9126,0.46750662
290,0.99155325
4592,0.6761218
8807,0.77893466
863,0.09641596
14825,0.03050403
10108,0.6101318
11789,0.55486757
10981,0.10354139
8252,0.895986
10571,0.85808194
11986,0.6378122
351,0.4538357
6969,0.9178596
783,0.80578315
10566,0.6179681
13256,0.00014163456
18929,0.00032006507
16905,0.08848435
5193,0.87437683
845,0.5978939
1296,0.6631465
9123,0.6960359
7058,0.9037187
15714,0.00013270644
17518,0.0031396837
2394,0.20148692
9454,0.8312362
4396,0.2209648
8786,0.06405271
11251,0.9731462
13641,0.0011342625
2245,0.89062774
13893,6.383194e-05
5288,0.51827735
3231,0.80058986
16588,0.000107830834
18170,4.8501126e-05
16333,8.252848e-05
16709,0.00020694509
6875,0.6766376
7409,0.5454938
894,0.3492238
17744,0.001020975
10202,0.8014242
19187,0.5188188
19179,0.001738295
13292,0.0002452511
7643,0.9889836
17403,0.1776458
3691,0.98824745
1900,0.42091048
1388,0.9897816
8125,0.9598712
738,0.69746524
1353,0.13528141
1915,0.22116524
16403,0.00022813487
15786,0.00019039516
10192,0.55239844
8282,0.59541917
3754,0.15627334
8684,0.2750814
6921,0.09618206
2015,0.9376438
6104,0.19354005
9038,0.19589981
5305,0.4830823
17605,0.98371696
7728,0.19889307
5202,0.95786095
12580,0.8649396
3164,0.70674753
4466,0.45755312
4009,0.6550283
15985,0.0019490782
17112,1.50768665e-05
3992,0.9119036
7955,0.40412447
5894,0.9667455
10634,0.45097867
638,0.38537595
11824,0.12151492
7473,0.13715392
13628,0.21322632
13225,0.014882492
4386,0.97028244
13424,0.0030854046
6077,0.9346984
16620,0.05404365
17194,1.2952799e-05
16702,0.00015771016
14829,0.048410997
7432,0.69914275
16516,0.053262923
7067,0.4396259
8051,0.013305513
19015,4.248757e-05
3952,0.35513294
12312,0.8573937
17197,9.775918e-06
13764,0.0469054
14408,0.59201795
6553,0.017987736
12132,0.26220447
14246,0.0019960355
17496,0.00024001182
13038,0.5537623
8242,0.8825556
14703,0.0039273333
14451,7.6884506e-05
18249,0.00047758088
5272,0.64518535
16675,0.00025734556
13149,9.5903844e-05
8412,0.60790396
5947,0.9036918
18412,4.4385833e-05
11488,0.6275259
17187,0.05659929
13921,9.238465e-05
18610,0.0455761
16322,0.0005498302
8418,0.98913366
12756,0.056059357
3161,0.92838395
10377,0.9760434
10491,0.6829237
1018,0.4480098
4013,0.51022816
668,0.5163692
17210,0.008098221
15040,0.5754088
7076,0.80869025
8306,0.00018906622
12844,0.94601625
10366,0.8184088
1410,0.5502436
4077,0.052012168
8637,0.7829285
2533,0.35330933
7841,0.95495504
15385,1.7907807e-05
