,local_coherence_prediction
0,0.503544
0,0.49475765
0,0.3416371
0,0.38506597
0,0.32822236
0,0.33836335
0,0.2803353
0,0.32990482
0,0.2969948
0,0.54622
0,0.18814255
0,0.19783238
0,0.54035914
0,0.39109254
0,0.40414226
0,0.24144726
0,0.25061753
0,0.6240519
0,0.15053783
0,0.618453
0,0.41246486
0,0.46364215
0,0.48087156
0,0.45213446
0,0.31805083
0,0.31845152
0,0.48233205
0,0.33091936
0,0.5800084
0,0.496902
0,0.35854948
0,0.29717553
0,0.4359059
0,0.35864902
0,0.4558919
1,0.3803676
1,0.33676347
1,0.47583362
1,0.5760037
1,0.6213864
1,0.40281844
2,0.41012228
2,0.4434193
2,0.2284762
2,0.4943117
2,0.26542157
2,0.20372772
2,0.44675362
2,0.49389052
2,0.32808548
2,0.28101695
2,0.18406793
2,0.5619873
2,0.37753555
2,0.5780307
2,0.24822818
2,0.32990733
2,0.2543076
2,0.32459903
3,0.2536564
3,0.26426405
3,0.4267712
3,0.42246625
3,0.43907663
3,0.51591974
3,0.32853782
3,0.25396088
3,0.29339305
3,0.18421535
3,0.13144846
3,0.58782405
3,0.43301898
3,0.40846345
3,0.4211712
3,0.30372396
3,0.23945747
3,0.28247875
3,0.2735576
3,0.5316276
3,0.42052862
3,0.5467632
3,0.48961705
3,0.557002
3,0.48281625
3,0.54457235
3,0.42333457
3,0.2303287
3,0.254342
3,0.3657081
3,0.51784897
3,0.26465654
4,0.27866626
4,0.3590738
4,0.384042
4,0.40269735
4,0.7272681
4,0.69147587
4,0.67281055
4,0.52199906
5,0.51779515
5,0.50661594
6,0.6810554
6,0.60247684
6,0.6819999
6,0.6519937
6,0.3821394
6,0.62080646
6,0.6438295
6,0.6512578
6,0.5320686
6,0.69239545
10,0.5000398
10,0.341381
10,0.37401348
10,0.46234918
10,0.23582743
10,0.48976812
10,0.19742791
10,0.4135754
10,0.46174833
10,0.4647659
10,0.31836104
10,0.5529158
10,0.4567623
10,0.48386267
10,0.51876384
10,0.54680496
10,0.3326703
10,0.38937834
10,0.18357478
10,0.2162745
10,0.4082399
10,0.31408706
10,0.36002994
10,0.33526003
10,0.2795975
10,0.40763456
11,0.5193163
11,0.37281424
11,0.47951356
11,0.44394487
11,0.33686176
11,0.54098177
11,0.55250233
11,0.50512815
11,0.16723448
11,0.48597592
11,0.58620334
11,0.5221707
11,0.48345459
11,0.474153
11,0.27286416
11,0.44738007
11,0.5247308
11,0.13243353
11,0.24185634
11,0.5183955
11,0.23730752
11,0.4273797
11,0.53147113
11,0.48020422
11,0.38246706
11,0.26512328
12,0.35692012
12,0.44191754
12,0.41748095
12,0.21593028
12,0.27937144
12,0.24392122
12,0.3416819
12,0.20011981
12,0.2656583
12,0.54905474
12,0.5026762
12,0.3597896
12,0.14693114
13,0.37903976
13,0.4816237
13,0.3724926
14,0.35156274
14,0.28013396
14,0.27585572
14,0.4559369
14,0.38195956
14,0.41408473
14,0.36061552
14,0.3216521
14,0.42784134
14,0.4279075
14,0.31886703
14,0.4332122
14,0.27532235
14,0.4030305
14,0.5570624
14,0.42888674
15,0.6304696
15,0.22750297
15,0.6910052
15,0.5161013
15,0.530405
15,0.44706735
15,0.19262546
17,0.3348106
17,0.5909973
17,0.5638254
17,0.60697746
17,0.63159704
19,0.657872
19,0.61023194
20,0.60828155
20,0.67048407
20,0.6597117
20,0.4302657
20,0.3637478
20,0.31548357
20,0.44067082
20,0.61879903
20,0.19373813
21,0.4719168
21,0.22645278
21,0.36450434
21,0.3487395
21,0.31334373
21,0.2038645
21,0.2975459
21,0.25551853
21,0.15605423
21,0.1405619
21,0.2769109
21,0.29322565
21,0.29951754
21,0.22485389
22,0.40243214
22,0.48908672
22,0.53168535
22,0.6391288
22,0.5961099
22,0.6649632
23,0.417233
23,0.50827736
23,0.3370319
23,0.52540404
23,0.4991158
23,0.60007036
23,0.55766666
23,0.50580263
23,0.31837422
23,0.4687736
23,0.5186663
23,0.23871133
23,0.39195484
23,0.39069852
23,0.3928258
23,0.35583353
23,0.20416518
23,0.4256848
23,0.50560963
23,0.22874548
23,0.32191202
24,0.5343341
24,0.25746936
24,0.5264704
24,0.52659565
24,0.20387983
24,0.19317223
24,0.2804889
24,0.30728656
24,0.26480594
24,0.23808946
24,0.39479986
24,0.4244234
24,0.437421
24,0.37514177
24,0.3525629
24,0.19205076
24,0.30417034
24,0.37039977
24,0.26058206
24,0.45080534
24,0.30117527
24,0.283438
24,0.17610908
24,0.34733877
24,0.23723318
24,0.40756717
24,0.3623444
24,0.37851852
24,0.3412832
24,0.264169
24,0.21180452
24,0.36656216
24,0.22442274
24,0.49242145
25,0.23886152
25,0.28616336
25,0.34362507
25,0.43217117
25,0.35719973
25,0.36555398
25,0.34620872
25,0.34423995
25,0.20639598
25,0.26526952
25,0.19307193
25,0.31955507
25,0.47396606
25,0.36455995
25,0.44036555
25,0.36967027
26,0.39221272
26,0.41772482
26,0.25082535
26,0.25454706
26,0.45471433
26,0.32873932
26,0.24963792
26,0.24884132
26,0.22348174
26,0.22517067
26,0.2192636
26,0.213492
26,0.24953637
26,0.26600635
26,0.24073303
26,0.14780036
27,0.5668619
27,0.41227955
27,0.5053715
27,0.4615963
27,0.28951344
27,0.29157457
28,0.50675005
28,0.48594692
28,0.37943467
28,0.43494695
28,0.15396391
28,0.22375228
28,0.44267374
28,0.36131042
28,0.2837534
28,0.55386674
28,0.50685847
28,0.50836676
28,0.42133078
