,prompt_prediction
4932,3.8703083e-06
3137,8.660116e-05
11249,0.20853236
18392,0.7883708
9025,0.9184096
12229,0.4779082
15306,0.77507484
14495,0.4668103
18842,0.9710189
14874,0.608899
10325,0.5212829
8886,0.5350663
8949,0.5809994
17945,0.9436447
4797,0.00071085285
9196,0.14165491
15884,0.73733246
3297,0.0007577152
15060,0.28558344
1532,4.0013874e-06
10916,0.8922769
10328,0.16722941
17538,0.3708112
9883,0.2482572
7494,0.23733544
13864,0.9736413
12258,0.79238683
18644,0.4823508
13858,0.95276487
68,0.00059400813
2629,0.00042993698
519,0.0010855022
7415,0.7085037
16089,0.6453501
7162,0.4346689
5348,0.0027033787
14855,0.97280306
18335,0.77856565
18741,0.6077157
4967,3.862219e-06
6683,0.51560193
16104,0.47123507
7336,0.24941039
6882,0.6343419
17190,0.6456052
10955,0.9896265
7159,0.84267294
19176,0.2985484
12075,0.84349453
17479,0.067999914
6280,2.0639793e-05
13992,0.9633699
815,3.644807e-06
10199,0.48968524
16575,0.4114342
14470,0.24547358
3230,0.0048653
3045,0.00059955753
9394,0.45318907
10285,0.5778252
12036,0.9790085
9346,0.87618536
3582,0.00018486052
3299,0.00041739875
1539,3.9847535e-05
6567,0.62107694
14508,0.52017653
345,0.000444939
17695,0.5289455
16074,0.640194
9060,0.9668214
1167,2.0197516e-05
619,1.438894e-06
6722,0.26720318
2640,8.66458e-06
18388,0.98770696
3436,4.910112e-06
13913,0.22980098
6745,0.99246264
10899,0.4099116
11781,0.73540986
13855,0.39685205
16951,0.26636446
6416,8.9145815e-06
2578,0.00034611567
6741,0.20697843
5205,9.198172e-06
2134,0.24270244
6798,0.93724906
220,0.0039305035
17521,0.25677258
4673,0.0018434128
15673,0.1663347
14193,0.7152979
10278,0.18286508
15511,0.5398598
13137,0.90920746
4122,0.064926244
6440,0.0016718657
3805,2.1438113e-06
18851,0.5290506
18831,0.804636
9186,0.2830705
6415,9.652752e-06
6323,0.00030387306
5808,0.00043499417
1430,0.027152317
7765,0.4969508
12423,0.7373139
17171,0.250965
10234,0.8615881
14503,0.9868738
14468,0.66447085
10947,0.6430326
1256,0.6048225
17592,0.7592521
2518,0.015831828
8188,0.5240936
7008,0.2185787
7,0.0011917754
18309,0.0044280016
16758,0.72803825
12747,0.99750394
18835,0.9968875
13838,0.2699397
4803,0.012430187
7448,0.81403756
